date,stock_id,type,value,origin_name,report,stock_name,industry
2019-09-30,6508,EquityAttributableToOwnersOfParent,59086000.0,淨利（淨損）歸屬於母公司業主,IncomeStatement,惠光,農業科技業
2019-12-31,6508,IncomeBeforeIncomeTax,18022000.0,稅前淨利(淨損),IncomeStatement,惠光,農業科技業
2019-12-31,6508,NetIncome,20582000.0,本期淨利(淨損),IncomeStatement,惠光,農業科技業
2019-12-31,6508,PreTaxIncome,18022000.0,稅前淨利（淨損）,IncomeStatement,惠光,農業科技業
2019-12-31,6508,TAX,-2560000.0,所得稅費用（利益）,IncomeStatement,惠光,農業科技業
2019-12-31,6508,IncomeFromContinuingOperations,20582000.0,繼續營業單位本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2019-12-31,6508,IncomeAfterTaxes,20582000.0,本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2019-12-31,6508,TotalConsolidatedProfitForThePeriod,10818000.0,本期綜合損益總額,IncomeStatement,惠光,農業科技業
2019-12-31,6508,EPS,0.24,基本每股盈餘（元）,IncomeStatement,惠光,農業科技業
2019-12-31,6508,Revenue,343459000.0,營業收入,IncomeStatement,惠光,農業科技業
2019-12-31,6508,CostOfGoodsSold,261128000.0,營業成本,IncomeStatement,惠光,農業科技業
2019-12-31,6508,GrossProfit,82331000.0,營業毛利（毛損）淨額,IncomeStatement,惠光,農業科技業
2019-12-31,6508,OperatingExpenses,46337000.0,營業費用,IncomeStatement,惠光,農業科技業
2019-12-31,6508,OTHNOE,1100000.0,其他收益及費損淨額,BalanceSheet,惠光,農業科技業
2019-12-31,6508,OperatingIncome,37094000.0,營業利益（損失）,IncomeStatement,惠光,農業科技業
2019-12-31,6508,TotalNonoperatingIncomeAndExpense,-19072000.0,營業外收入及支出,IncomeStatement,惠光,農業科技業
2019-12-31,6508,OtherComprehensiveIncome,-9764000.0,其他綜合損益（淨額）,IncomeStatement,惠光,農業科技業
2019-12-31,6508,EquityAttributableToOwnersOfParent,20582000.0,淨利（淨損）歸屬於母公司業主,IncomeStatement,惠光,農業科技業
